var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
ACQPROPBBAL,    Numeric,0,
TRANSACQPROPT,    Numeric,0,
ACQPROPDEP,    Numeric,0,
ACQPROPDISP,    Numeric,0,
CHGOFFACQPROP,    Numeric,0,
OACQPROP,    Numeric,0,
ACQPROP,    Numeric,0,
