var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
NONACRBBAL,    Numeric,0,
TRANSNONACRN,    Numeric,0,
CHGOFFNONACR,    Numeric,0,
TRANSACQPROPN,    Numeric,0,
REINSTTONONACR,    Numeric,0,
RECOVNONACR,    Numeric,0,
REPAYNONACR,    Numeric,0,
ONONACR,    Numeric,0,
NONACR,    Numeric,0,
