var_name,   data_type, decimal_pos,var_desc
         SYSTEM,    Numeric,0,System Code
           DIST,    Numeric,0,District Code
          ASSOC,    Numeric,0,Association Code
          MONTH,    Numeric,0,Month of Report
           YEAR,    Numeric,0,Year of Report
         UNINUM,    Numeric,0,"System, District, and association codes concatenated"
UnusedCommitUncondCancel,    Numeric,0,
UnusedCommitLE14Month,    Numeric,0,
UnusedCommitGT14Month,    Numeric,0,
UnusedCommitDirectLoan,    Numeric,0,
LetterCrdtFinclStandby,    Numeric,0,
LetterCrdtPerfStandby,    Numeric,0,
LetterCrdtCommercial,    Numeric,0,
Commit2PurchWhenIssuedTBA,    Numeric,0,
AssetServBalance,    Numeric,0,
AssetServTotCommit,    Numeric,0,
OtherOBSCommitContingency,    Numeric,0,
